name;manufacturer;serving_size;energy_kcal;protein_g;carbohydrate_g;fat_g;sugar_g;sodium_mg;fiber_g;energy_percentage_dv;protein_percentage_dv;carbohydrate_percentage_dv;fat_percentage_dv;sodium_percentage_dv;Lemak jenuh;Natrium;Protein;Karbohidrat total;Energi;Lemak total;Serat pangan;Column1;Column2;Column3;Column4
Ikan sunu; asin; mentah;Tidak Diketahui;20.30 g;199.0;34.1;7.1;3.8;0.0;377.0;0.0;9.26;56.83;2.18;5.67;25.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
Soto pekalongan; masakan;Tidak Diketahui;1.30 g;94.0;3.0;5.1;6.8;0.0;0.0;0.3;4.37;5.0;1.57;10.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Marie duo;Tidak Diketahui;1 g;15.0;1.0;14.0;3.5;5.0;85.0;1.0;4.19;1.67;4.31;5.22;5.67;10.0;6.0;0.0;0.0;0.0;0.0;0.0;;;;
Kaparende; sayur;Tidak Diketahui;1.30 g;38.0;2.4;2.6;2.0;0.0;170.0;1.5;1.77;4.0;0.8;2.99;11.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Kacang lebui / iris;Tidak Diketahui;3.60 g;346.0;16.5;66.6;1.5;0.0;17.0;37.3;16.09;27.5;20.49;2.24;1.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
The coffe bean & tea leaf pure vanilla ice blended drink;Tidak Diketahui;15 g;410.0;15.0;70.0;9.0;63.0;0.0;0.0;19.07;25.0;21.54;13.43;0.0;0.0;0.0;25.0;22.0;20.0;0.0;0.0;;;;
Dairy queen banana split;Tidak Diketahui;4 g;520.0;9.0;92.0;14.0;72.0;0.0;4.0;24.19;15.0;28.31;20.9;0.0;0.0;0.0;0.0;29.0;25.0;21.0;0.0;;;;
Gembili; ubi; segar;Tidak Diketahui;1 g;131.0;1.1;31.3;0.2;0.0;10.0;1.1;6.09;1.83;9.63;0.3;0.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
Baked lotus paste mooncake with two egg yolks;Tidak Diketahui;0.85 g;223.0;4.05;20.5;13.79;0.0;0.0;0.85;10.37;6.75;6.31;20.58;0.0;0.0;0.0;7.0;0.0;11.0;21.0;0.0;;;;
Cumi-cumi;Tidak Diketahui;0.90 g;75.0;16.1;0.1;0.7;0.0;37.0;0.0;3.49;26.83;0.03;1.04;2.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Kunyit; segar;Tidak Diketahui;1.30 g;69.0;2.0;9.1;2.7;0.0;6.0;0.6;3.21;3.33;2.8;4.03;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
The coffe bean & tea leaf black forest ice blended drink;Tidak Diketahui;12 g;490.0;12.0;89.0;10.0;76.0;0.0;0.0;22.79;20.0;27.38;14.93;0.0;0.0;0.0;20.0;28.0;23.0;0.0;0.0;;;;
Coklat silverqueen almond;PT. Petra food indonesia;4 g;170.0;4.0;14.0;11.0;11.0;0.0;0.0;7.91;6.67;4.31;16.42;0.0;0.0;0.0;7.0;0.0;8.0;17.0;0.0;;;;
Daun gedi besar; segar;Tidak Diketahui;2.40 g;58.0;2.9;10.0;0.7;0.0;30.0;3.3;2.7;4.83;3.08;1.04;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Kopi hitam tanpa gula;Tidak Diketahui;0.28 g;2.0;0.28;0.09;0.05;0.0;0.0;0.0;0.09;0.47;0.03;0.07;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;;;;
Tumis keumamah;Tidak Diketahui;4.30 g;300.0;14.5;15.5;20.0;0.0;0.0;4.5;13.95;24.17;4.77;29.85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Regal Biskuit Marie;CV. JAYA ABADI;1 g;70.0;1.0;12.0;2.0;0.0;45.0;0.0;3.26;1.67;3.69;2.99;3.0;0.0;3.0;0.0;4.0;4.0;0.0;0.0;;;;
Teh hijau daun kering;Tidak Diketahui;5.60 g;300.0;28.3;53.6;4.8;0.0;60.0;9.6;13.95;47.17;16.49;7.16;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Susu ultra milk rasa coklat 200 ml;PT. Ultrajaya Milk Industy;6 g;160.0;6.0;24.0;4.0;0.0;45.0;0.0;7.44;10.0;7.38;5.97;3.0;15.0;0.0;10.0;0.0;8.0;0.0;0.0;;;;
Frisian flag putih (kental manis);PT. Frisian Flag Indonesia;1 g;140.0;1.0;23.0;4.0;19.0;0.0;0.0;6.51;1.67;7.08;5.97;0.0;0.0;0.0;0.0;8.0;7.0;6.0;0.0;;;;
Sedaap Kecap Manis;PT. BUMI ALAM SEGAR;1 g;70.0;1.0;16.0;0.0;13.0;290.0;0.0;3.26;1.67;4.92;0.0;19.33;0.0;20.0;0.0;5.0;4.0;0.0;0.0;;;;
Outback steackhouse slow roasted prime rib;Tidak Diketahui;46 g;700.0;46.0;0.0;57.0;0.0;0.0;0.0;32.56;76.67;0.0;85.07;0.0;0.0;0.0;77.0;0.0;33.0;86.0;0.0;;;;
Es krim Diamond vanilla;PT. Sukanda djaya;2 g;110.0;2.0;12.0;6.0;9.0;0.0;0.0;5.12;3.33;3.69;8.96;0.0;0.0;0.0;0.0;4.0;6.0;9.0;0.0;;;;
Genjer; segar;Tidak Diketahui;0.40 g;35.0;1.7;7.7;0.2;0.0;64.0;2.5;1.63;2.83;2.37;0.3;4.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Taoge kacang kedelai; segar;Tidak Diketahui;1 g;76.0;9.0;6.4;2.6;0.0;5.0;0.7;3.53;15.0;1.97;3.88;0.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Renggi Goreng;Tidak Diketahui;0.60 g;471.0;4.7;64.1;21.8;0.0;126.0;6.4;21.91;7.83;19.72;32.54;8.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Saus Char siu (chinese BBQ);Tidak Diketahui;0 g;60.0;0.0;14.0;0.0;13.0;0.0;0.0;2.79;0.0;4.31;0.0;0.0;0.0;0.0;0.0;5.0;3.0;0.0;0.0;;;;
Daun kedongdong; segar;Tidak Diketahui;1.80 g;59.0;3.5;13.4;0.3;0.0;12.0;10.7;2.74;5.83;4.12;0.45;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Semur jengkol;Tidak Diketahui;2.20 g;212.0;6.0;29.1;10.0;0.0;0.0;0.0;9.86;10.0;8.95;14.93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Chatime taro milk tea;Tidak Diketahui;2 g;399.0;2.0;70.0;12.0;54.5;0.0;0.0;18.56;3.33;21.54;17.91;0.0;0.0;0.0;0.0;22.0;19.0;18.0;0.0;;;;
Biokul natural set yogurt;PT. Sukanda djaya;5 g;70.0;5.0;10.0;1.0;3.0;0.0;0.0;3.26;8.33;3.08;1.49;0.0;0.0;0.0;9.0;4.0;4.0;0.0;0.0;;;;
Kambose;Tidak Diketahui;0.70 g;164.0;3.0;32.6;2.4;0.0;0.0;4.3;7.63;5.0;10.03;3.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Sarden ABC saus tomat;PT. ABC Heinz Indonesia;12 g;100.0;12.0;9.0;2.0;2.0;0.0;0.0;4.65;20.0;2.77;2.99;0.0;0.0;0.0;20.0;0.0;5.0;3.0;0.0;;;;
Parede baleh; masakan;Tidak Diketahui;1.50 g;87.0;10.5;5.5;2.5;0.0;416.0;0.0;4.05;17.5;1.69;3.73;27.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Nasi gurih;Tidak Diketahui;1.30 g;190.0;4.7;26.0;7.5;0.0;296.0;0.7;8.84;7.83;8.0;11.19;19.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
You C100 Orange water;PT. Djojonegoro;0 g;160.0;0.0;40.0;0.0;40.0;0.0;0.0;7.44;0.0;12.31;0.0;0.0;0.0;0.0;0.0;13.0;8.0;0.0;0.0;;;;
Diamond Milk Susu UHT Full Cream;PT. Diamond Cold Storage;6 g;120.0;6.0;10.0;6.0;0.0;100.0;0.0;5.58;10.0;3.08;8.96;6.67;0.0;7.0;10.0;0.0;0.0;9.0;0.0;;;;
Kacang tolo / tunggak;Tidak Diketahui;3.60 g;331.0;24.4;56.6;1.9;0.0;15.0;1.6;15.4;40.67;17.42;2.84;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Babi; daging; kurus; segar;Tidak Diketahui;0.90 g;371.0;14.1;0.0;35.0;0.0;97.0;0.0;17.26;23.5;0.0;52.24;6.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
Keripik tempe abadi besar;Tidak Diketahui;2.80 g;556.0;15.8;39.8;37.1;0.0;0.0;3.5;25.86;26.33;12.25;55.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Sunduk lawang;Tidak Diketahui;1 g;181.0;1.9;32.4;1.3;0.0;0.0;0.0;8.42;3.17;9.97;1.94;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Jengkol; segar;Tidak Diketahui;0.90 g;192.0;5.4;40.7;0.3;0.0;60.0;1.5;8.93;9.0;12.52;0.45;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Ketan putih; matang;Tidak Diketahui;0.20 g;163.0;3.0;35.7;0.4;0.0;8.0;0.2;7.58;5.0;10.98;0.6;0.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Susu Ultra Milk Rasa coklat 1000 ml;"PT. Ultrajaya Milk Industry, Tbk";8 g;45.0;8.0;30.0;5.0;24.0;55.0;0.0;9.3;13.33;9.23;7.46;3.67;20.0;0.0;14.0;0.0;10.0;0.0;0.0;;;;
Jagung kuning; tepung;Tidak Diketahui;1.20 g;355.0;9.2;73.7;3.9;0.0;11.0;7.2;16.51;15.33;22.68;5.82;0.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Padamaran;Tidak Diketahui;0.80 g;171.0;3.9;18.8;8.9;0.0;0.0;0.0;7.95;6.5;5.78;13.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Beras tumbuk merah; mentah;Tidak Diketahui;1 g;352.0;7.3;76.2;0.9;0.0;10.0;0.8;16.37;12.17;23.45;1.34;0.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Karawila;Tidak Diketahui;0.30 g;25.0;2.3;3.5;0.2;0.0;8.0;2.1;1.16;3.83;1.08;0.3;0.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Ikan teri nasi; kering; mentah;Tidak Diketahui;32.40 g;144.0;32.5;0.0;0.6;0.0;312.0;0.0;6.7;54.17;0.0;0.9;20.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
Nutrisari Yuzu Orange;PT. Nutrifood Indonesia;0 g;45.0;0.0;10.0;0.0;9.0;20.0;0.0;2.09;0.0;3.08;0.0;1.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Sate pusut; masakan;Tidak Diketahui;2.80 g;274.0;12.9;13.6;18.6;0.0;609.0;0.0;12.74;21.5;4.18;27.76;40.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;
Kue bangen;Tidak Diketahui;2.20 g;442.0;3.3;74.2;14.7;0.0;0.0;0.0;20.56;5.5;22.83;21.94;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
Burger Carl's Jr the big carl;Tidak Diketahui;3 g;920.0;47.0;56.0;58.0;12.0;0.0;3.0;42.79;78.33;17.23;86.57;0.0;0.0;0.0;79.0;0.0;43.0;87.0;0.0;;;;
